ID,Tail,Body,Total,Angle,Temperature,Treatment,Date,Clone,Age,Spikes,Pedestal,Mature,No.Neonates,Experiment,Stage
D1045_12_C1,0.230412673,0.632361447,0.862712582,178.4532234,12,Control,10/03/18,D10_45,1,,,J,NA,Acute,NA
D1045_12_C2,0.258495648,0.713000701,0.966504009,193.156324,12,Control,10/03/18,D10_45,1,,,J,NA,Acute,NA
D1045_12_C3,0.229869528,0.719216935,0.942509947,195.7664998,12,Control,10/03/18,D10_45,1,,,J,NA,Acute,NA
D1045_12_C1,0.239370006,0.600960065,0.838973778,172.785713,12,Control,11/03/18,D10_45,2,,,J,NA,Acute,NA
D1045_12_C2,0.242216845,0.695507009,0.932575466,193.7309529,12,Control,11/03/18,D10_45,2,,,J,NA,Acute,NA
D1045_12_C3,0.210154705,0.707878521,0.911684704,196.0629482,12,Control,11/03/18,D10_45,2,,,J,NA,Acute,NA
D1045_12_C1,0.209995238,0.762459835,0.967845546,193.5733852,12,Control,12/03/18,D10_45,3,,,J,NA,Acute,NA
D1045_12_C2,0.259347258,0.956582459,1.211363282,192.1333891,12,Control,12/03/18,D10_45,3,,,J,NA,Acute,NA
D1045_12_C3,0.221551348,0.93786353,1.155200848,192.438184,12,Control,12/03/18,D10_45,3,,,J,NA,Acute,NA
D1045_12_C1,0.21544837,0.711770328,0.925605207,188.0063533,12,Control,13/03/18,D10_45,4,,,J,NA,Acute,NA
D1045_12_C2,0.261,0.912850481,1.17068228,190.1298461,12,Control,13/03/18,D10_45,4,,,J,NA,Acute,NA
D1045_12_C3,0.224118272,0.902485457,1.119795071,195.8057848,12,Control,13/03/18,D10_45,4,,,J,NA,Acute,NA
D1045_12_C1,0.21691012,0.733409844,0.948061179,189.4173226,12,Control,14/03/18,D10_45,5,,,J,NA,Acute,NA
D1045_12_C2,0.272066168,0.909826357,1.176715769,192.7514496,12,Control,14/03/18,D10_45,5,,,J,NA,Acute,NA
D1045_12_C3,0.23242203,0.924407919,1.147464161,198.2359298,12,Control,14/03/18,D10_45,5,,,J,NA,Acute,NA
D1045_12_C1,0.164684547,0.877465669,1.035917468,197.2181379,12,Control,15/03/18,D10_45,6,,,J,NA,Acute,NA
D1045_12_C2,0.294083322,1.15868762,1.450959682,187.1228265,12,Control,15/03/18,D10_45,6,,,J,NA,Acute,NA
D1045_12_C3,0.267934694,1.153769908,1.416593802,192.4358304,12,Control,15/03/18,D10_45,6,,,J,NA,Acute,NA
D1045_12_C1,0.177485211,0.887811354,1.052908353,203.5466997,12,Control,16/03/18,D10_45,7,,,J,NA,Acute,NA
D1045_12_C2,0.284613773,1.161610089,1.446016943,182.4378971,12,Control,16/03/18,D10_45,7,,,J,NA,Acute,NA
D1045_12_C3,0.233070805,1.169626009,1.397436582,193.3484117,12,Control,16/03/18,D10_45,7,,,J,NA,Acute,NA
D1045_12_C1,0.210297408,1.077635374,1.278371229,198.939438,12,Control,17/03/18,D10_45,8,,,J,NA,Acute,NA
D1045_12_C2,0.285203436,1.144671569,1.429177386,184.4795629,12,Control,17/03/18,D10_45,8,,,J,NA,Acute,NA
D1045_12_C3,0.254483791,1.157560366,1.40914726,189.5544758,12,Control,17/03/18,D10_45,8,,,J,NA,Acute,NA
D1045_12_C1,0.193724031,1.069153871,1.255197594,197.5767574,12,Control,18/03/18,D10_45,9,,,J,NA,Acute,NA
D1045_12_C2,0.315128545,1.47926502,1.793869839,176.3614944,12,Control,18/03/18,D10_45,9,,,J,NA,Acute,NA
D1045_12_C3,0.29238502,1.438559349,1.730251427,184.3275887,12,Control,18/03/18,D10_45,9,,,J,NA,Acute,NA
D1045_12_C1,0.228973798,1.108765981,1.328230778,198.1814527,12,Control,19/03/18,D10_45,10,,,J,NA,Acute,NA
D1045_12_C2,0.317354691,1.505207627,1.821934137,176.0326559,12,Control,19/03/18,D10_45,10,,,J,NA,Acute,NA
D1045_12_C3,0.32336048,1.468638826,1.79059599,185.8977985,12,Control,19/03/18,D10_45,10,,,J,NA,Acute,NA
D1045_12_P1,0.217175045,0.675462804,0.889080986,191.9303986,12,Predator,10/03/18,D10_45,1,1,0,J,NA,Acute,NA
D1045_12_P2,0.23992082,0.685910344,0.919752684,195.0023999,12,Predator,10/03/18,D10_45,1,1,0,J,NA,Acute,NA
D1045_12_P3,0.239006276,0.704006392,0.937245432,194.5846302,12,Predator,10/03/18,D10_45,1,1,0,J,NA,Acute,NA
D1045_12_P1,0.225410736,0.669266016,0.891695576,190.7809401,12,Predator,11/03/18,D10_45,2,1,0,J,NA,Acute,NA
D1045_12_P2,0.232432786,0.672634373,0.903686893,187.2451107,12,Predator,11/03/18,D10_45,2,1,30,J,NA,Acute,NA
D1045_12_P3,0.235478237,0.680520389,0.911018112,193.6857295,12,Predator,11/03/18,D10_45,2,1,30,J,NA,Acute,NA
D1045_12_P1,0.248652368,0.932410317,1.170437952,198.8940005,12,Predator,12/03/18,D10_45,3,0,0,J,NA,Acute,NA
D1045_12_P2,0.25099004,0.955402533,1.201896002,192.1987898,12,Predator,12/03/18,D10_45,3,0,0,J,NA,Acute,NA
D1045_12_P3,0.239770724,0.962634406,1.193400603,197.5855566,12,Predator,12/03/18,D10_45,3,0,0,J,NA,Acute,NA
D1045_12_P1,0.233308808,0.92437276,1.146069806,200.2848073,12,Predator,13/03/18,D10_45,4,0,0,J,NA,Acute,NA
D1045_12_P2,0.245601303,0.921703315,1.161664754,193.8351393,12,Predator,13/03/18,D10_45,4,0,0,J,NA,Acute,NA
D1045_12_P3,0.247630774,0.934229629,1.174727202,195.4917767,12,Predator,13/03/18,D10_45,4,0,0,J,NA,Acute,NA
D1045_12_P1,0.243741667,0.874412374,1.111649675,194.9890649,12,Predator,14/03/18,D10_45,5,0,0,J,NA,Acute,NA
D1045_12_P2,0.237928561,0.886363921,1.11830452,194.4966431,12,Predator,14/03/18,D10_45,5,0,0,J,NA,Acute,NA
D1045_12_P3,0.24429695,0.9084107,1.145027947,196.2104173,12,Predator,14/03/18,D10_45,5,0,0,J,NA,Acute,NA
D1045_12_P1,0.272244376,1.159420976,1.428390003,189.8827341,12,Predator,15/03/18,D10_45,6,0,0,J,NA,Acute,NA
D1045_12_P2,0.267,1.174227406,1.440629376,184.2490106,12,Predator,15/03/18,D10_45,6,0,0,J,NA,Acute,NA
D1045_12_P3,0.259516859,1.196214864,1.451817137,190.9877135,12,Predator,15/03/18,D10_45,6,0,0,J,NA,Acute,NA
D1045_12_P1,0.276523055,1.179435882,1.452755313,189.6963766,12,Predator,16/03/18,D10_45,7,0,0,J,NA,Acute,NA
D1045_12_P2,0.258940148,1.181687353,1.439739212,185.2411168,12,Predator,16/03/18,D10_45,7,0,0,J,NA,Acute,NA
D1045_12_P3,0.263321097,1.224843255,1.482239184,193.4149802,12,Predator,16/03/18,D10_45,7,0,0,J,NA,Acute,NA
D1045_12_P1,0.271088546,1.135521906,1.404861915,187.2454129,12,Predator,17/03/18,D10_45,8,0,0,J,NA,Acute,NA
D1045_12_P2,0.283975351,1.477416664,1.761259209,181.9133563,12,Predator,17/03/18,D10_45,8,0,0,J,NA,Acute,NA
D1045_12_P3,0.255650152,1.177599253,1.42938903,190.9942414,12,Predator,17/03/18,D10_45,8,0,0,J,NA,Acute,NA
D1045_12_P1,0.31039491,1.490514676,1.800054721,184.6749369,12,Predator,18/03/18,D10_45,9,0,0,J,NA,Acute,NA
D1045_12_P2,0.29180987,1.505806428,1.797612862,180.3038166,12,Predator,18/03/18,D10_45,9,0,0,J,NA,Acute,NA
D1045_12_P3,0.299252402,1.569763358,1.868376033,184.0884671,12,Predator,18/03/18,D10_45,9,0,0,J,NA,Acute,NA
D1045_12_P1,0.29929584,1.531471515,1.82953792,185.6794607,12,Predator,19/03/18,D10_45,10,0,0,J,NA,Acute,NA
D1045_12_P2,0.290688837,1.536699385,1.826966064,183.3675905,12,Predator,19/03/18,D10_45,10,0,0,J,NA,Acute,NA
D1045_12_P3,0.292714878,1.6056603,1.897074854,185.8738278,12,Predator,19/03/18,D10_45,10,0,0,J,NA,Acute,NA
D87A_12_C1,0.236381048,0.72889231,0.965194281,181.7055276,12,Control,10/03/18,D87_A,1,,,J,NA,Acute,NA
D87A_12_C2,0.204284116,0.703622768,0.907899223,180.5636436,12,Control,10/03/18,D87_A,1,,,J,NA,Acute,NA
D87A_12_C3,0.238102919,0.761680379,0.999724962,181.4530987,12,Control,10/03/18,D87_A,1,,,J,NA,Acute,NA
D87A_12_C1,0.230358416,0.733185515,0.963212334,183.524532,12,Control,11/03/18,D87_A,2,,,J,NA,Acute,NA
D87A_12_C2,0.201645729,0.665723666,0.867313669,178.4624281,12,Control,11/03/18,D87_A,2,,,J,NA,Acute,NA
D87A_12_C3,0.228694119,0.745420687,0.973376084,185.2653283,12,Control,11/03/18,D87_A,2,,,J,NA,Acute,NA
D87A_12_C1,0.246951412,0.920608494,1.163484852,191.7322262,12,Control,12/03/18,D87_A,3,,,J,NA,Acute,NA
D87A_12_C2,0.207761883,0.681504952,0.888886944,176.0417284,12,Control,12/03/18,D87_A,3,,,J,NA,Acute,NA
D87A_12_C3,0.237497368,0.963003634,1.195322969,193.3744405,12,Control,12/03/18,D87_A,3,,,J,NA,Acute,NA
D87A_12_C1,0.219583697,0.90968566,1.119237687,199.3453024,12,Control,13/03/18,D87_A,4,,,J,NA,Acute,NA
D87A_12_C2,0.218506293,0.849456297,1.061503179,195.6459562,12,Control,13/03/18,D87_A,4,,,J,NA,Acute,NA
D87A_12_C3,0.237592087,0.938185483,1.17135904,192.3827164,12,Control,13/03/18,D87_A,4,,,J,NA,Acute,NA
D87A_12_C1,0.23503404,0.902324221,1.130893452,195.1097968,12,Control,14/03/18,D87_A,5,,,J,NA,Acute,NA
D87A_12_C2,0.204012255,0.847488643,1.046205525,194.5618877,12,Control,14/03/18,D87_A,5,,,J,NA,Acute,NA
D87A_12_C3,0.239708156,0.915573045,1.152313325,190.1345294,12,Control,14/03/18,D87_A,5,,,J,NA,Acute,NA
D87A_12_C1,0.241660919,1.108092505,1.345281012,192.1787417,12,Control,15/03/18,D87_A,6,,,J,NA,Acute,NA
D87A_12_C2,0.217082933,1.07434864,1.28209984,161.5343646,12,Control,15/03/18,D87_A,6,,,J,NA,Acute,NA
D87A_12_C3,0.23693248,1.192974434,1.421578348,196.6666258,12,Control,15/03/18,D87_A,6,,,J,NA,Acute,NA
D87A_12_C1,0.229941297,1.121331797,1.344033482,195.8120388,12,Control,16/03/18,D87_A,7,,,J,NA,Acute,NA
D87A_12_C2,0.186131674,1.044598009,1.222235656,198.8407796,12,Control,16/03/18,D87_A,7,,,J,NA,Acute,NA
D87A_12_C3,0.224200803,1.173139804,1.393750695,191.2008211,12,Control,16/03/18,D87_A,7,,,J,NA,Acute,NA
D87A_12_C1,0.251793566,1.108081224,1.34852957,199.1025381,12,Control,17/03/18,D87_A,8,,,J,NA,Acute,NA
D87A_12_C2,0.210535033,1.063203179,1.263703288,160.5827537,12,Control,17/03/18,D87_A,8,,,J,NA,Acute,NA
D87A_12_C3,0.242406683,1.182900249,1.420806109,192.1327725,12,Control,17/03/18,D87_A,8,,,J,NA,Acute,NA
D87A_12_C1,0.266662708,1.391721955,1.652259362,193.4239084,12,Control,18/03/18,D87_A,9,,,J,NA,Acute,NA
D87A_12_C2,0.234053413,1.318660305,1.544658538,196.3458225,12,Control,18/03/18,D87_A,9,,,J,NA,Acute,NA
D87A_12_C3,0.274322803,1.468300378,1.739060954,190.0669632,12,Control,18/03/18,D87_A,9,,,J,NA,Acute,NA
D87A_12_C1,0.264092787,1.441200888,1.702285816,189.4128756,12,Control,19/03/18,D87_A,10,,,J,NA,Acute,NA
D87A_12_C2,0.242161103,1.359661723,1.596880083,192.5805241,12,Control,19/03/18,D87_A,10,,,J,NA,Acute,NA
D87A_12_C3,0.289932751,1.502036285,1.785175061,193.566849,12,Control,19/03/18,D87_A,10,,,J,NA,Acute,NA
D87A_12_P1,0.2090598,0.751322168,0.960379612,179.6924926,12,Predator,13/03/18,D87_A,1,0,0,J,NA,Acute,NA
D87A_12_P2,0.236579796,0.774485636,1.011040059,180.9587912,12,Predator,13/03/18,D87_A,1,0,30,J,NA,Acute,NA
D87A_12_P3,0.217412051,0.74745234,0.964856984,180.5373371,12,Predator,13/03/18,D87_A,1,0,0,J,NA,Acute,NA
D87A_12_P1,0.209668786,0.715947624,0.925337776,183.3588625,12,Predator,14/03/18,D87_A,2,0,30,J,NA,Acute,NA
D87A_12_P2,0.22901965,0.744929527,0.973041623,174.1664304,12,Predator,14/03/18,D87_A,2,1,30,J,NA,Acute,NA
D87A_12_P3,0.216981566,0.732006831,0.948970495,179.1619897,12,Predator,14/03/18,D87_A,2,0,30,J,NA,Acute,NA
D87A_12_P1,0.230019564,0.893713601,1.122196507,187.4290288,12,Predator,15/03/18,D87_A,3,0,0,J,NA,Acute,NA
D87A_12_P2,0.240393428,0.891136914,1.128270358,190.6403568,12,Predator,15/03/18,D87_A,3,0,0,J,NA,Acute,NA
D87A_12_P3,0.243022633,0.892574927,1.13245309,190.4033638,12,Predator,15/03/18,D87_A,3,0,0,J,NA,Acute,NA
D87A_12_P1,0.226797266,0.863362033,1.089016529,186.4649222,12,Predator,16/03/18,D87_A,4,0,0,J,NA,Acute,NA
D87A_12_P2,0.241853261,0.892350268,1.130143354,191.8466818,12,Predator,16/03/18,D87_A,4,0,0,J,NA,Acute,NA
D87A_12_P3,0.251199124,0.877824584,1.126462161,189.2844503,12,Predator,16/03/18,D87_A,4,0,0,J,NA,Acute,NA
D87A_12_P1,0.232280003,0.898505982,1.126643244,192.1512629,12,Predator,17/03/18,D87_A,5,0,0,J,NA,Acute,NA
D87A_12_P2,0.239534966,0.902570773,1.139656527,189.2217804,12,Predator,17/03/18,D87_A,5,0,0,J,NA,Acute,NA
D87A_12_P3,0.243741667,0.89959213,1.140408699,190.0133988,12,Predator,17/03/18,D87_A,5,0,0,J,NA,Acute,NA
D87A_12_P1,0.246661712,1.086944801,1.329159509,192.0634279,12,Predator,18/03/18,D87_A,6,0,0,J,NA,Acute,NA
D87A_12_P2,0.249280966,1.068878384,1.311964176,194.2050114,12,Predator,18/03/18,D87_A,6,0,0,J,NA,Acute,NA
D87A_12_P3,0.258642611,1.086551425,1.336021706,197.0117728,12,Predator,18/03/18,D87_A,6,0,0,J,NA,Acute,NA
D87A_12_P1,0.241373155,1.109165452,1.346842604,191.0737183,12,Predator,19/03/18,D87_A,7,0,0,J,NA,Acute,NA
D87A_12_P2,0.258182106,1.085608125,1.341657557,188.1971721,12,Predator,19/03/18,D87_A,7,0,0,J,NA,Acute,NA
D87A_12_P3,0.254001968,1.097882052,1.345039033,194.7826433,12,Predator,19/03/18,D87_A,7,0,0,J,NA,Acute,NA
LD33_12_C1,0.221199005,0.719781217,0.939034611,188.6927282,12,Control,08/03/18,LD33,1,,,J,NA,Acute,NA
LD33_12_C2,0.23977698,0.738325809,0.970036082,197.1345426,12,Control,08/03/18,LD33,1,,,J,NA,Acute,NA
LD33_12_C3,0.223886132,0.737010176,0.957261197,191.7988831,12,Control,08/03/18,LD33,1,,,J,NA,Acute,NA
LD33_12_C1,0.193569109,0.750179978,0.937098181,196.8775882,12,Control,09/03/18,LD33,2,,,J,NA,Acute,NA
LD33_12_C2,0.22821262,0.744032929,0.965179776,196.3237101,12,Control,09/03/18,LD33,2,,,J,NA,Acute,NA
LD33_12_C3,0.23700211,0.746450936,0.980286183,190.7582248,12,Control,09/03/18,LD33,2,,,J,NA,Acute,NA
LD33_12_C1,0.222036033,0.972109047,1.188780888,193.9777852,12,Control,10/03/18,LD33,3,,,J,NA,Acute,NA
LD33_12_C2,0.248670465,0.972576475,1.214042009,195.4796252,12,Control,10/03/18,LD33,3,,,J,NA,Acute,NA
LD33_12_C3,0.241105786,0.965598778,1.196831233,198.3712881,12,Control,10/03/18,LD33,3,,,J,NA,Acute,NA
LD33_12_C1,0.223080703,0.954253635,1.173115936,192.3895542,12,Control,11/03/18,LD33,4,,,J,NA,Acute,NA
LD33_12_C2,0.240376788,0.971067969,1.203452533,196.5326465,12,Control,11/03/18,LD33,4,,,J,NA,Acute,NA
LD33_12_C3,0.231898685,0.957925362,1.181095254,197.5567267,12,Control,11/03/18,LD33,4,,,J,NA,Acute,NA
LD33_12_C1,0.219822656,1.013960552,1.229085026,193.0829378,12,Control,12/03/18,LD33,5,,,J,NA,Acute,NA
LD33_12_C2,0.234079046,1.374077873,1.598882422,197.4912464,12,Control,12/03/18,LD33,5,,,J,NA,Acute,NA
LD33_12_C3,0.228464439,1.331605047,1.555853464,191.9276508,12,Control,12/03/18,LD33,5,,,J,NA,Acute,NA
LD33_12_C1,0.219583697,0.90968566,1.119237687,199.3453024,12,Control,13/03/18,LD33,6,,,J,NA,Acute,NA
LD33_12_C2,0.218506293,0.849456297,1.061503179,195.6459562,12,Control,13/03/18,LD33,6,,,J,NA,Acute,NA
LD33_12_C3,0.237592087,0.938185483,1.17135904,192.3827164,12,Control,13/03/18,LD33,6,,,J,NA,Acute,NA
LD33_12_C1,0.220911747,1.25031596,1.467310465,191.7169954,12,Control,14/03/18,LD33,7,,,J,NA,Acute,NA
LD33_12_C2,0.249200722,1.293732584,1.534237596,196.5640879,12,Control,14/03/18,LD33,7,,,J,NA,Acute,NA
LD33_12_C3,0.237035862,1.265509384,1.497905204,192.3674609,12,Control,14/03/18,LD33,7,,,J,NA,Acute,NA
LD33_12_C1,0.210618138,1.557688351,1.767836248,184.079918,12,Control,15/03/18,LD33,8,,,J,NA,Acute,NA
LD33_12_C2,0.244989796,1.662989176,1.906226901,187.343093,12,Control,15/03/18,LD33,8,,,J,NA,Acute,NA
LD33_12_C3,0.250319795,1.604856691,1.854757397,183.5650357,12,Control,15/03/18,LD33,8,,,J,NA,Acute,NA
LD33_12_C1,0.210466149,1.516929135,1.726402618,185.940095,12,Control,16/03/18,LD33,9,,,J,NA,Acute,NA
LD33_12_C2,0.242738542,1.666824826,1.908666812,185.2720715,12,Control,16/03/18,LD33,9,,,J,NA,Acute,NA
LD33_12_C3,0.263427409,1.61964564,1.88243725,184.2929498,12,Control,16/03/18,LD33,9,,,J,NA,Acute,NA
LD33_12_C1,0.227407124,1.543443553,1.768004525,189.7175388,12,Control,17/03/18,LD33,10,,,J,NA,Acute,NA
LD33_12_C2,0.247163913,1.621259387,1.86648011,187.7166626,12,Control,17/03/18,LD33,10,,,J,NA,Acute,NA
LD33_12_C3,0.26654268,1.595342283,1.860521432,186.2628618,12,Control,17/03/18,LD33,10,,,J,NA,Acute,NA
LD33_12_C1,0.215204554,1.56203201,1.775929334,186.7388528,12,Control,18/03/18,LD33,11,,,J,NA,Acute,NA
LD33_12_C2,0.24894176,1.638841054,1.885736991,187.8877964,12,Control,18/03/18,LD33,11,,,J,NA,Acute,NA
LD33_12_C3,0.246434575,1.61549528,1.85976477,188.1581896,12,Control,18/03/18,LD33,11,,,J,NA,Acute,NA
LD33_12_C1,0.238801173,1.963023179,2.201489042,176.7840334,12,Control,19/03/18,LD33,12,,,A,NA,Acute,mt
LD33_12_C2,0.303646176,1.953434156,2.254302996,171.6652745,12,Control,19/03/18,LD33,12,,,A,NA,Acute,mt
LD33_12_C3,0.266956925,1.990453717,2.257397617,179.3972334,12,Control,19/03/18,LD33,12,,,A,NA,Acute,mt
LD33_12_P1,0.248243832,0.718453896,0.958248924,197.3682062,12,Predator,08/03/18,LD33,1,5,30,J,NA,Acute,NA
LD33_12_P2,0.245252931,0.703690983,0.945600338,190.9938276,12,Predator,08/03/18,LD33,1,3,30,J,NA,Acute,NA
LD33_12_P3,0.242330353,0.683018301,0.918068625,196.3703958,12,Predator,08/03/18,LD33,1,4,30,J,NA,Acute,NA
LD33_12_P1,0.247242796,0.721535169,0.962896672,194.4975505,12,Predator,09/03/18,LD33,2,5,50,J,NA,Acute,NA
LD33_12_P2,0.243298171,0.718136477,0.957489426,191.9481752,12,Predator,09/03/18,LD33,2,3,30,J,NA,Acute,NA
LD33_12_P3,0.247935475,0.698387428,0.941,193.8343257,12,Predator,09/03/18,LD33,2,5,50,J,NA,Acute,NA
LD33_12_P1,0.242989712,0.734329626,0.971590449,194.3698781,12,Predator,10/03/18,LD33,3,2,30,J,NA,Acute,NA
LD33_12_P2,0.246130047,0.735435925,0.976656541,193.2336689,12,Predator,10/03/18,LD33,3,2,30,J,NA,Acute,NA
LD33_12_P3,0.227982455,0.704815579,0.924688596,197.6117902,12,Predator,10/03/18,LD33,3,1,30,J,NA,Acute,NA
LD33_12_P1,0.245293702,0.92158559,1.157451079,197.9120465,12,Predator,11/03/18,LD33,4,2,30,J,NA,Acute,NA
LD33_12_P2,0.255931631,0.930017204,1.175348884,198.6622484,12,Predator,11/03/18,LD33,4,2,30,J,NA,Acute,NA
LD33_12_P3,0.232157274,0.904591068,1.123026269,157.8457727,12,Predator,11/03/18,LD33,4,3,30,J,NA,Acute,NA
LD33_12_P1,0.264168507,0.932388331,1.183997044,200.0648283,12,Predator,12/03/18,LD33,5,4,30,J,NA,Acute,NA
LD33_12_P2,0.259470615,0.94552102,1.197106929,195.9712198,12,Predator,12/03/18,LD33,5,4,30,J,NA,Acute,NA
LD33_12_P3,0.253031619,0.944698894,1.184015625,201.3028047,12,Predator,12/03/18,LD33,5,3,30,J,NA,Acute,NA
LD33_12_P1,0.253314034,1.269744069,1.518652692,191.7150419,12,Predator,13/03/18,LD33,6,4,30,J,NA,Acute,NA
LD33_12_P2,0.242835335,1.252998005,1.492221498,190.8067243,12,Predator,13/03/18,LD33,6,4,30,J,NA,Acute,NA
LD33_12_P3,0.254310833,1.268190837,1.511929231,198.1464128,12,Predator,13/03/18,LD33,6,3,30,J,NA,Acute,NA
LD33_12_P1,0.246629276,1.233280179,1.475374529,192.0491041,12,Predator,14/03/18,LD33,7,0,30,J,NA,Acute,NA
LD33_12_P2,0.257328584,1.238090869,1.491343354,191.2180915,12,Predator,14/03/18,LD33,7,4,30,J,NA,Acute,NA
LD33_12_P3,0.261673461,1.22098362,1.475106776,195.1923471,12,Predator,14/03/18,LD33,7,4,30,J,NA,Acute,NA
LD33_12_P1,0.264764046,1.245732716,1.504689337,193.2310703,12,Predator,15/03/18,LD33,8,4,30,J,NA,Acute,NA
LD33_12_P2,0.270149958,1.244380167,1.511013236,190.2070233,12,Predator,15/03/18,LD33,8,3,30,J,NA,Acute,NA
LD33_12_P3,0.248219661,1.265212235,1.504291528,197.0430261,12,Predator,15/03/18,LD33,8,0,30,J,NA,Acute,NA
LD33_12_P1,0.253387056,1.561597259,1.810941468,191.0451518,12,Predator,16/03/18,LD33,9,0,0,J,NA,Acute,NA
LD33_12_P2,0.279342084,1.567547447,1.845265564,186.7084303,12,Predator,16/03/18,LD33,9,0,0,J,NA,Acute,NA
LD33_12_P3,0.24686231,1.597361888,1.840414084,190.8269548,12,Predator,16/03/18,LD33,9,0,0,J,NA,Acute,NA
LD33_12_P1,0.275835096,1.553373104,1.827319622,187.2787021,12,Predator,17/03/18,LD33,10,0,0,J,NA,Acute,NA
LD33_12_P2,0.288293253,1.517477512,1.802311016,189.6899705,12,Predator,17/03/18,LD33,10,0,0,J,NA,Acute,NA
LD33_12_P3,0.256643722,1.576624559,1.827668734,192.9236982,12,Predator,17/03/18,LD33,10,0,0,J,NA,Acute,NA
LD33_12_P1,0.272523393,1.583972853,1.855526071,185.2351421,12,Predator,18/03/18,LD33,11,0,0,J,NA,Acute,NA
LD33_12_P2,0.292960748,1.585941361,1.876534039,187.9332068,12,Predator,18/03/18,LD33,11,0,0,J,NA,Acute,NA
LD33_12_P3,0.277200289,1.625950184,1.89757793,192.4447539,12,Predator,18/03/18,LD33,11,0,0,J,NA,Acute,NA
LD33_12_P1,0.277622045,1.593758451,1.870026738,186.1330972,12,Predator,19/03/18,LD33,12,0,0,J,NA,Acute,NA
LD33_12_P2,0.286471639,1.585440002,1.865416307,193.2757845,12,Predator,19/03/18,LD33,12,0,0,J,NA,Acute,NA
LD33_12_P3,0.270440382,1.659257967,1.920412716,196.226491,12,Predator,19/03/18,LD33,12,0,0,J,NA,Acute,NA
LD33_12_C1,0.241770552,1.930434666,2.17153425,175.4711358,12,Control,20/03/18,LD33,13,0,0,A,NA,Acute,NA
LD33_12_C2,0.243057606,1.928510565,2.169723024,172.5046526,12,Control,20/03/18,LD33,13,0,0,A,NA,Acute,NA
LD33_12_C3,0.279331344,1.95644269,2.234971588,175.356493,12,Control,20/03/18,LD33,13,0,0,A,NA,Acute,NA
D87A_12_C1,0.274961816,1.377200058,1.646029161,193.2716053,12,Control,20/03/18,D87_A,11,0,0,J,NA,Acute,NA
D87A_12_C2,0.220465417,1.363848965,1.582182354,188.5933481,12,Control,20/03/18,D87_A,11,0,0,J,NA,Acute,NA
D87A_12_C3,0.25103187,1.495717219,1.744829218,187.6613279,12,Control,20/03/18,D87_A,11,0,0,J,NA,Acute,NA
D1045_12_C1,0.172177234,1.369718584,1.534447783,197.9321077,12,Control,20/03/18,D10_45,11,0,0,J,NA,Acute,NA
D1045_12_C2,0.319452657,1.500528574,1.81998022,179.8412658,12,Control,20/03/18,D10_45,11,0,0,J,NA,Acute,NA
D1045_12_C3,0.316,1.442678065,1.757118095,186.2875624,12,Control,20/03/18,D10_45,11,0,0,J,NA,Acute,NA
LD33_12_P1,0.290222329,1.906093387,2.195180403,185.441422,12,Predator,20/03/18,LD33,13,0,0,A,NA,Acute,mt
LD33_12_P2,0.303415557,1.877498602,2.180899814,180.6004647,12,Predator,20/03/18,LD33,13,0,0,A,NA,Acute,mt
LD33_12_P3,0.284810463,1.964338566,2.248875497,182.6871462,12,Predator,20/03/18,LD33,13,0,0,A,NA,Acute,mt
D87A_12_P1,0.26,1.053164754,1.310555607,189.0687889,12,Predator,20/03/18,D87_A,8,0,0,J,NA,Acute,NA
D87A_12_P2,0.257031127,1.063863243,1.316548518,191.7510667,12,Predator,20/03/18,D87_A,8,0,0,J,NA,Acute,NA
D87A_12_P3,0.237876018,1.072302662,1.299308278,199.1965063,12,Predator,20/03/18,D87_A,8,0,0,J,NA,Acute,NA
D1045_12_P1,0.272963368,1.481591712,1.754386787,182.1895357,12,Predator,20/03/18,D10_45,11,0,0,J,NA,Acute,NA
D1045_12_P2,0.282214457,1.45640688,1.73780839,184.7524125,12,Predator,20/03/18,D10_45,11,0,0,J,NA,Acute,NA
D1045_12_P3,0.31580057,1.550809144,1.864705071,186.9061768,12,Predator,20/03/18,D10_45,11,0,0,J,NA,Acute,NA
LD33_12_C1,,1.883,,,12,Control,21/03/18,LD33,14,0,0,A,NA,Acute,NA
LD33_12_C2,,1.903,,,12,Control,21/03/18,LD33,14,0,0,A,NA,Acute,NA
LD33_12_C3,,1.902,,,12,Control,21/03/18,LD33,14,0,0,A,NA,Acute,NA
D87A_12_C1,,1.348,,,12,Control,21/03/18,D87_A,12,0,0,J,NA,Acute,NA
D87A_12_C2,,1.553,,,12,Control,21/03/18,D87_A,12,0,0,J,NA,Acute,NA
D87A_12_C3,,1.453,,,12,Control,21/03/18,D87_A,12,0,0,J,NA,Acute,NA
D1045_12_C1,,1.312,,,12,Control,21/03/18,D10_45,12,0,0,J,NA,Acute,NA
D1045_12_C2,,1.469,,,12,Control,21/03/18,D10_45,12,0,0,J,NA,Acute,NA
D1045_12_C3,,1.422,,,12,Control,21/03/18,D10_45,12,0,0,J,NA,Acute,NA
LD33_12_P1,,1.126,,,12,Predator,21/03/18,LD33,14,0,0,A,NA,Acute,mt
LD33_12_P2,,1.108,,,12,Predator,21/03/18,LD33,14,0,0,A,NA,Acute,mt
LD33_12_P3,,1.146,,,12,Predator,21/03/18,LD33,14,0,0,A,NA,Acute,mt
D87A_12_P1,,0.727,,,12,Predator,21/03/18,D87_A,9,0,0,J,NA,Acute,NA
